prompt,regex_s,ner_s,enterprise_s,semantic_s,intent_s,ollama_s,total_s
What is recursion?,0.31912140001077205,0.16289410000899807,0.023723100021015853,0.08410179999191314,1.5999830793589354e-06,16.006585900002392,16.59642790001817
Explain quicksort.,0.37893910001730546,0.18628029999672435,0.040026400005444884,0.0955590000085067,1.300009898841381e-06,5.719897500006482,6.420703600044362
Write a Python loop.,0.08372480000252835,0.1400001000147313,0.023972700000740588,0.0,0.1733034999924712,7.494747399992775,7.915748500003247
Summarize machine learning.,0.04820729998755269,0.12184259999776259,0.0277994999778457,0.05721180001273751,1.100008375942707e-06,4.638709199993173,4.893771499977447
What is cloud computing?,0.02866330000688322,0.11760329999378882,0.024835099990013987,0.06630519998725504,1.0999792721122503e-06,4.744104400015203,4.9815123999724165
Difference between TCP and UDP.,0.06130179998581298,0.124692600016715,0.02092919999267906,0.058055900008184835,1.100008375942707e-06,5.599494699999923,5.864475300011691
Explain binary search.,0.03742860001511872,0.29448119999142364,0.0415973000053782,0.1361144999973476,1.4999823179095984e-06,5.817629400000442,6.327252499992028
What is Docker?,0.05778119998285547,0.18283720000181347,0.04472179998992942,0.10477870001341216,1.400010660290718e-06,5.826355199998943,6.216475499997614
Write a SQL JOIN example.,0.09924929999397136,0.16755169999669306,0.03426610000315122,0.0954378999886103,1.700012944638729e-06,8.161680399993202,8.558187099988572
Explain object-oriented programming.,0.26472030000877567,0.22138030000496656,0.026113900006748736,0.06868050000048243,1.100008375942707e-06,5.485807699995348,6.066703800024698
How does HTTPS work?,0.1145241999765858,0.13131380002596416,0.030960699979914352,0.057439700001850724,1.400010660290718e-06,5.0339431000174955,5.368182900012471
What is Kubernetes?,0.10290070000337437,0.1196551000175532,0.05024839998804964,0.0,0.14452989998972043,8.261636699986411,8.678970799985109
Explain REST APIs.,0.057355099997948855,0.13499849999789149,0.021553900005528703,0.05896819999907166,9.999785106629133e-07,4.596333399997093,4.869210099976044
What is encryption?,0.02450120000867173,0.11140249998425134,0.027415299991844222,0.06567989999894053,1.5999830793589354e-06,4.842035600013332,5.07103609998012
Explain hashing.,0.023675299977185205,0.11752989998785779,0.02839180000592023,0.06859559999429621,1.400010660290718e-06,4.99700119998306,5.23519519995898
Difference between RAM and SSD.,0.04245649999938905,0.2199962000013329,0.022110799996880814,0.07026550002046861,1.600012183189392e-06,4.802339899993967,5.157170500024222
What is an operating system?,0.16021790000377223,0.11798960002488457,0.02439139998750761,0.06118030002107844,9.999785106629133e-07,4.79246980001335,5.156250000029104
Explain recursion with an example.,0.041250200010836124,0.1315525000100024,0.03586870001163334,0.05623709998326376,1.0999792721122503e-06,4.700652700004866,4.965562299999874
Write a Java function.,0.03184159999364056,0.11370040001929738,0.027356800012057647,0.0,0.11543370000435971,7.811380800005281,8.099713300034637
Explain data structures.,0.0575636999856215,0.12616230000276119,0.027830999984871596,0.0894300999934785,1.500011421740055e-06,5.645916200010106,5.9469047999882605
Email me at john.doe@example.com.,10.684958800004097,0.13625889999093488,0.018236100004287437,0.0,0.09136230000876822,7.924458800000139,18.855274900008226
Send results to alice@test.org.,0.07937699998728931,0.13705960000515915,0.02525099998456426,0.0,0.12551799998618662,8.405997199995909,8.773202799959108
My email is jane99@gmail.com.,0.0625376999960281,0.14054689998738468,0.02816079999320209,0.0,0.11888300001737662,9.193672499997774,9.543800899991766
Notify admin@company.co.uk.,0.05334199999924749,0.13549159999820404,0.03205879998859018,0.0,0.12584439999773167,8.697611599985976,9.04434839996975
Contact bob.smith@yahoo.com.,0.07722619999549352,0.1361435000144411,0.04576059998362325,0.0,0.13476729998365045,7.82330579997506,8.217203399952268
Reach me at info@example.net.,0.030548599985195324,0.12735870000324212,0.02603950002230704,0.0,0.1000365000218153,8.406607699987944,8.690591000020504
Use support@internal.org.,0.05705609999131411,0.11501829998451285,0.026673699991079047,0.0,0.11383720001322217,7.703654900018591,8.01624019999872
Forward to david@email.com.,0.03442330000689253,0.13518670000485145,0.02910320000955835,0.0,0.12715440001920797,7.7418877000163775,8.067755300056888
My work email is sam@enterprise.io.,0.03910520000499673,0.1352066000108607,0.027588299999479204,0.0,0.1039638000074774,8.185710000019753,8.491573900042567
Use user123@example.com.,0.020654300024034455,0.28695239999797195,0.02994929999113083,0.0,0.1547963000193704,8.853158399986569,9.345510700019076
Call me on +44 7700 900123.,0.15926469999249093,0.12597709998954087,0.02252339999540709,0.060599899996304885,1.4999823179095984e-06,5.496191199985333,5.8645577999413945
Phone number is 07911123456.,0.04045859997859225,0.1648255999898538,0.031012600025860593,0.0,0.11877630001981743,8.288423799996963,8.643496900011087
My contact is +1 415 555 1234.,0.07656879999558441,0.11749949998920783,0.023772800021106377,0.0,0.10561590001452714,9.538437200011685,9.861894200032111
Reach me at +61 412 345 678.,0.075491299998248,0.14623060001758859,0.02962899999693036,0.0,0.1029176999873016,8.527029799995944,8.881298399996012
Office phone is 02071234567.,0.050062800000887364,0.12123560000327416,0.027379199978895485,0.0,0.11403810000047088,8.45838540000841,8.771101099991938
Dial +91 9876543210.,0.08206289997906424,0.12130190001334995,0.02097380001214333,0.0,0.10703829998965375,8.005718400003389,8.3370952999976
Use 07123456789.,0.02657550000003539,0.30892920002224855,0.02553689997876063,0.0,0.1645208999980241,9.564226900023641,10.08978940002271
Call 5551234567.,0.03411109998705797,0.13051960000302643,0.027272500010440126,0.05523589998483658,1.5999830793589354e-06,4.987948499998311,5.235089199966751
Emergency number is +49 15123456789.,0.08314000000245869,0.12083369999891147,0.029371899989200756,0.0,0.1030402000178583,8.454014600021765,8.790400400030194
Phone: +33 612345678.,0.047655000002123415,0.12499099998967722,0.025746300001628697,0.0,0.10117410001112148,8.999077499989653,9.298643899994204
API key is ABCDEF1234567890ABCDEF1234567890.,0.04938290000427514,0.15670640001189895,0.03572939999867231,0.0,0.11283329999423586,9.366961000021547,9.72161300003063
Token: ZXCVBNMASDFGHJKLQWERTYUIOP123456.,0.03923279998707585,0.16660500000580214,0.034419999981764704,0.0,0.10748559999046847,10.289882799988845,10.637626199953957
Secret key ABC123DEF456GHI789JKL012MNO345PQ.,0.054387299984227866,0.17136050001136027,0.032947400002740324,0.0,0.12133140000514686,13.558504900021944,13.93853150002542
Use key A1B2C3D4E5F6G7H8I9J0K1L2M3N4O5P6.,0.046186899999156594,0.3089742000156548,0.071637599990936,0.0,0.17893560000811704,17.25677179999184,17.862506100005703
Production token is 1234567890ABCDEFGHIJKLMNOPQRSTUV.,0.05063949999748729,0.2854941999830771,0.05443889999878593,0.0,0.24659399999654852,11.49865329999011,12.135819899966009
John Smith approved the report.,0.25557520001893863,0.31200409997836687,0.062559300014982,0.0,0.13980900001479313,13.609560300013982,14.379507900041062
Mary Johnson submitted feedback.,0.09262499999022111,0.16833580000093207,0.03412740002386272,0.0,0.18125760002294555,9.62784429997555,10.104190100013511
James Wilson attended the meeting.,0.04894320000312291,0.1454276000149548,0.02456189997610636,0.0,0.16137350001372397,8.425509099994088,8.805815300001996
Emily Brown requested access.,0.044706599990604445,0.16803279999294318,0.02449219999834895,0.0,0.147970299993176,8.406884199997876,8.792086099972948
Michael Taylor updated documentation.,0.05053579999366775,0.15125769999576733,0.02036329999100417,0.0,0.13279859998147003,8.23561079998035,8.59056619994226
Sarah Davis reviewed the proposal.,0.056217300007119775,0.16071210001246072,0.02976519998628646,0.0,0.1463621000002604,9.319733000011183,9.71278970001731
David Miller sent an email.,0.05721169998287223,0.20779169999877922,0.025975900003686547,0.0,0.132875100011006,8.772802699997555,9.1966570999939
Jessica Moore joined yesterday.,0.05331709998426959,0.15499260000069626,0.028010700014419854,0.0,0.11255160000291653,8.46863210000447,8.817504100006772
Chris Thomas completed onboarding.,0.05034889999660663,0.14568169999984093,0.021834899991517887,0.0,0.11230169999180362,9.67329159998917,10.00345879996894
Daniel White scheduled training.,0.06041409997851588,0.2554798000201117,0.05354959997930564,0.0,0.24237260001245886,11.672181500005536,12.283997599995928
Microsoft released a patch.,0.0518517000018619,0.24194659999920987,0.03455589999794029,0.0,0.17816029998357408,11.129790800012415,11.636305299995001
Google announced new AI tools.,0.16254389999085106,0.23835530001088046,0.03454980000969954,0.0,0.1487896000035107,11.4177478000056,12.001986400020542
Apple updated macOS.,0.06059589999495074,0.2019635000033304,0.038823099981527776,0.0,0.1622555999783799,13.126948700024514,13.590586799982702
Amazon launched a feature.,0.05677170000853948,0.15130660001887009,0.02674870000919327,0.0,0.133440800011158,12.333573100011563,12.701840900059324
OpenAI published a paper.,0.10761040000943467,0.8146787000005133,0.04266619999543764,0.0,0.2754360999970231,11.063021799986018,12.303413199988427
Tell me about Project Sakura.,0.04305659999954514,0.7497896999993827,0.0438410000060685,0.0,0.2789716999977827,20.515938999975333,21.631597999978112
Project Sakura timeline.,0.03030749998288229,0.16387310001300648,0.04105629998957738,0.0,0.20476669998606667,14.403711699997075,14.843715299968608
Who works on Sakura?,0.054456899990327656,0.1467261000070721,0.039663400006247684,0.0,0.18138760002329946,16.597993000003044,17.02022700002999
Summarize Project Sakura.,0.022484199987957254,0.13958200000342913,0.042451700021047145,0.0,0.17082440000376664,9.78411559999222,10.15945790000842
Show Sakura documentation.,0.02792520000366494,0.12010560001363046,0.027541799994651228,0.0,0.11403060000156984,15.562266599998111,15.851869800011627
Discuss Project Titan.,0.037683800008380786,0.1528429000172764,0.03407520000473596,0.0,0.15285239997319877,16.21357769999304,16.59103199999663
Titan release schedule.,0.028681800002232194,0.1610962999984622,0.04101919999811798,0.0,0.19633900001645088,15.589164699980756,16.01630099999602
Titan roadmap.,0.03608309998526238,0.15658320000511594,0.03859569999622181,0.0,0.17557780002243817,14.987729500018759,15.394569300027797
Titan architecture.,0.02304459997685626,0.14736199998878874,0.04221549999783747,0.0,0.25371290001203306,12.519724599987967,12.986059599963482
Explain Project Titan.,0.019658500008517876,0.12695109998458065,0.031311500002630055,0.0,0.23590599998715334,14.457802400022047,14.871629500004929
What is Sakura?,0.03510059998370707,0.2016050000092946,0.038025999994715676,0.0,0.22898340001120232,18.92913380000391,19.43284880000283
Who owns Titan?,0.028256399993551895,0.17589939999743365,0.06430830000317656,0.0,0.28328740000142716,17.600136900000507,18.151888399996096
Sakura milestones.,0.03343839998706244,0.14718700002413243,0.039666399999987334,0.0,0.19899129998520948,15.470358599995961,15.889641699992353
Titan meeting notes.,0.03459210001165047,0.17705989998648874,0.0401172999991104,0.0,0.24509589999797754,15.97996399999829,16.476829199993517
Project Apollo customer migration details.,0.062146799988113344,0.16128900001058355,0.04019770000013523,0.0,0.1433911000203807,14.193802900001174,14.600827500020387
Customer migration plan for Apollo.,0.047373800014611334,0.46810379999806173,0.032901200000196695,0.0,0.14666399999987334,16.304010599997127,16.99905340000987
Apollo migration status.,0.04100660001859069,0.2016406999900937,0.04036139999516308,0.0,0.20606510000652634,11.271944800013443,11.761018600023817
Apollo customer rollout.,0.016667399992002174,0.11834559999988414,0.04499359999317676,0.0,0.12189380000927486,12.657650700013619,12.959551100007957
Apollo migration risks.,0.039554999995743856,0.18840149999596179,0.040164300007745624,0.0,0.19898060002014972,13.979784499999369,14.44688590001897
My name is John Smith and my email is john@example.com.,0.24571129999822006,0.334628500015242,0.12496729998383671,0.0,0.2813845000055153,13.99257440000656,14.979266000009375
Jane Doe can be reached at jane@test.org.,0.1173529000079725,0.37723700000788085,0.07714870001655072,0.0,0.2262990000017453,13.526615400012815,14.324653000046965
Call Sarah on +44 7700900123.,0.11521040002116933,0.19503940001595765,0.03961499998695217,0.0,0.19239579999702983,10.37694340001326,10.91920400003437
Email Bob at bob@example.com regarding Sakura.,0.10407790000317618,0.20999979999032803,0.042102100007468835,0.0,0.23059950000606477,20.57930499999202,21.166084299999056
API key ABCDEF1234567890ABCDEF1234567890 belongs to John.,0.10349730000598356,0.35998510001809336,0.5046713000047021,0.0,0.7206665999838151,17.12299250002252,18.811812800035113
My manager Sarah approved Project Sakura.,0.0890930000168737,0.30461799999466166,0.24123189999954775,0.0,0.3467657000001054,17.698135599988746,18.679844199999934
Contact Alice about Apollo customer migration.,0.08687909998116083,0.2117409999773372,0.05049620001227595,0.0,0.22518729997682385,17.952177200000733,18.52648079994833
Send Titan documents to admin@example.com.,0.24399049999192357,0.2913391000183765,0.19312059998628683,0.0,1.7178193000145257,20.125337600009516,22.57160710002063
Call Michael regarding Sakura.,0.594376299995929,1.5492993000079878,0.15601830001105554,0.0,1.3130500999977812,17.634796199999982,21.247540200012736
API key and customer migration data attached.,0.12746170000173151,0.21251459998893552,0.047369100007927045,0.23878459999104962,1.400010660290718e-06,8.304527200001758,8.930658600002062
Email John about Titan rollout.,0.22466879998682998,0.272862299985718,0.07016790000488982,0.0,0.3228281000046991,17.087879200000316,17.978406299982453
I'm having a dispute with my manager over my performance review.,0.2993068999785464,0.33274029998574406,0.4610787999990862,0.12571100000059232,1.6999838408082724e-06,6.880422700021882,8.099261399969691
I want advice about my medical diagnosis.,0.08261020001373254,0.19650420002290048,0.053288099996279925,0.11359859997173771,1.700012944638729e-06,6.994913600006839,7.4409164000244346
Help me write about financial hardship.,0.08546480000950396,0.2015718999900855,0.03836360000423156,0.09660590000567026,1.5999830793589354e-06,6.424283400003333,6.846291199995903
I'm involved in a legal dispute with my employer.,0.2481166000070516,0.27386260000639595,0.058687000011559576,0.08922799999709241,1.600012183189392e-06,5.41973809999763,6.089633900031913
I'm feeling emotionally distressed at work.,0.26782059998367913,0.33181689999764785,0.08634199999505654,0.09959510000771843,9.999785106629133e-07,5.364060799998697,6.1496363999613095
My disciplinary meeting is tomorrow.,0.04605900001479313,0.12129760000971146,0.028355499991448596,0.07407169998623431,2.00001522898674e-06,5.414170500007458,5.6839563000248745
My private medical records need summarizing.,0.08520849997876212,0.2364467000006698,0.01986979998764582,0.07156850001774728,1.2999807950109243e-06,4.8945394000038505,5.3076341999694705
I'm struggling with personal debt.,0.034742699994239956,0.13252459999057464,0.02792230001068674,0.060604199999943376,1.4999823179095984e-06,5.051696100010304,5.307491399988066
Describe an HR complaint involving two employees.,0.15398350000032224,0.10979239997686818,0.017156299989437684,0.06226629999582656,1.00000761449337e-06,5.8869409000035375,6.230140399973607
My personal circumstances are affecting work performance.,0.1666045000019949,0.3088558000163175,0.43718099998659454,0.7619316999916919,1.300009898841381e-06,7.47509020002326,9.149664500029758
