id,prompt,expected,email,phone,credit_card,iban,ip,api_key,person,org,gpe,loc,product,ent_high,ent_medium,semantic
1,What is recursion?,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
2,Explain quicksort.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
3,Write a Python loop.,LOW,0,0,0,0,0,0,0,0,0,0,1,0,0,0.05
4,Summarize machine learning.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
5,What is cloud computing?,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
6,Difference between TCP and UDP.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
7,Explain binary search.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
8,What is Docker?,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
9,Write a SQL JOIN example.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
10,Explain object-oriented programming.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
11,How does HTTPS work?,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
12,What is Kubernetes?,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
13,Explain REST APIs.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
14,What is encryption?,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
15,Explain hashing.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
16,Difference between RAM and SSD.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
17,What is an operating system?,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
18,Explain recursion with an example.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
19,Write a Java function.,LOW,0,0,0,0,0,0,0,0,0,0,1,0,0,0.05
20,Explain data structures.,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
21,Email me at john.doe@example.com.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
22,Send results to alice@test.org.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
23,My email is jane99@gmail.com.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
24,Notify admin@company.co.uk.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
25,Contact bob.smith@yahoo.com.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
26,Reach me at info@example.net.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
27,Use support@internal.org.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
28,Forward to david@email.com.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
29,My work email is sam@enterprise.io.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
30,Use user123@example.com.,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
31,Call me on +44 7700 900123.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
32,Phone number is 07911123456.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
33,My contact is +1 415 555 1234.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
34,Reach me at +61 412 345 678.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
35,Office phone is 02071234567.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
36,Dial +91 9876543210.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
37,Use 07123456789.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
38,Call 5551234567.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
39,Emergency number is +49 15123456789.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
40,Phone: +33 612345678.,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1
41,API key is ABCDEF1234567890ABCDEF1234567890.,CRITICAL,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1
42,Token: ZXCVBNMASDFGHJKLQWERTYUIOP123456.,CRITICAL,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1
43,Secret key ABC123DEF456GHI789JKL012MNO345PQ.,CRITICAL,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1
